1,"The Shawshank Redemption",1994,9.2
2,"The Godfather",1972,9.2
3,"The Godfather: Part II",1974,9.0
4,"The Dark Knight",2008,9.0
5,"12 Angry Men",1957,8.9
6,"Schindler's List",1993,8.9
7,"Pulp Fiction",1994,8.9
8,"The Lord of the Rings: The Return of the King",2003,8.9
9,"The Good, the Bad and the Ugly",1966,8.8
10,"Fight Club",1999,8.8
11,"The Lord of the Rings: The Fellowship of the Ring",2001,8.8
12,"Forrest Gump",1994,8.7
13,"Star Wars: Episode V - The Empire Strikes Back",1980,8.7
14,"Inception",2010,8.7
15,"The Lord of the Rings: The Two Towers",2002,8.7
16,"One Flew Over the Cuckoo's Nest",1975,8.7
17,"Goodfellas",1990,8.7
18,"The Matrix",1999,8.7
19,"Seven Samurai",1954,8.6
20,"Star Wars: Episode IV - A New Hope",1977,8.6
21,"City of God",2002,8.6
22,"Se7en",1995,8.6
23,"The Silence of the Lambs",1991,8.6
24,"It's a Wonderful Life",1946,8.6
25,"Life Is Beautiful",1997,8.6
26,"The Usual Suspects",1995,8.6
27,"Léon: The Professional",1994,8.5
28,"Saving Private Ryan",1998,8.5
29,"Spirited Away",2001,8.5
30,"American History X",1998,8.5
31,"Once Upon a Time in the West",1968,8.5
32,"Interstellar",2014,8.5
33,"The Green Mile",1999,8.5
34,"Psycho",1960,8.5
35,"Casablanca",1942,8.5
36,"City Lights",1931,8.5
37,"The Intouchables",2011,8.5
38,"Modern Times",1936,8.5
39,"The Pianist",2002,8.5
40,"Raiders of the Lost Ark",1981,8.5
41,"The Departed",2006,8.5
42,"Rear Window",1954,8.5
43,"Terminator 2",1991,8.5
44,"Back to the Future",1985,8.5
45,"Whiplash",2014,8.5
46,"Gladiator",2000,8.5
47,"The Prestige",2006,8.5
48,"The Lion King",1994,8.5
49,"Memento",2000,8.5
50,"Apocalypse Now",1979,8.5
51,"Alien",1979,8.4
52,"The Great Dictator",1940,8.4
53,"Sunset Blvd.",1950,8.4
54,"Cinema Paradiso",1988,8.4
55,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,8.4
56,"The Lives of Others",2006,8.4
57,"Grave of the Fireflies",1988,8.4
58,"Paths of Glory",1957,8.4
59,"Django Unchained",2012,8.4
60,"The Shining",1980,8.4
61,"WALL·E",2008,8.4
62,"American Beauty",1999,8.4
63,"Blade Runner 2049",2017,8.4
64,"The Dark Knight Rises",2012,8.4
65,"Princess Mononoke",1997,8.4
66,"Oldeuboi",2003,8.4
67,"Aliens",1986,8.4
68,"Witness for the Prosecution",1957,8.4
69,"Once Upon a Time in America",1984,8.4
70,"Das Boot",1981,8.3
71,"Dangal",2016,8.3
72,"Citizen Kane",1941,8.3
73,"Vertigo",1958,8.3
74,"North by Northwest",1959,8.3
75,"Star Wars: Episode VI - Return of the Jedi",1983,8.3
76,"Braveheart",1995,8.3
77,"Reservoir Dogs",1992,8.3
78,"M",1931,8.3
79,"Requiem for a Dream",2000,8.3
80,"Taare Zameen Par",2007,8.3
81,"Amélie",2001,8.3
82,"Kimi no na wa.",2016,8.3
83,"A Clockwork Orange",1971,8.3
84,"Lawrence of Arabia",1962,8.3
85,"Amadeus",1984,8.3
86,"Double Indemnity",1944,8.3
87,"Eternal Sunshine of the Spotless Mind",2004,8.3
88,"Taxi Driver",1976,8.3
89,"To Kill a Mockingbird",1962,8.3
90,"Full Metal Jacket",1987,8.3
91,"2001: A Space Odyssey",1968,8.3
92,"Singin' in the Rain",1952,8.3
93,"Toy Story",1995,8.3
94,"3 Idiots",2009,8.3
95,"The Sting",1973,8.3
96,"Toy Story 3",2010,8.3
97,"Inglourious Basterds",2009,8.3
98,"Bicycle Thieves",1948,8.3
99,"The Kid",1921,8.3
100,"Dunkirk",2017,8.3
101,"Snatch",2000,8.3
102,"Monty Python and the Holy Grail",1975,8.3
103,"Good Will Hunting",1997,8.3
104,"Jagten",2012,8.3
105,"For a Few Dollars More",1965,8.3
106,"L.A. Confidential",1997,8.3
107,"Scarface",1983,8.3
108,"The Apartment",1960,8.2
109,"Metropolis",1927,8.2
110,"A Separation",2011,8.2
111,"Rashômon",1950,8.2
112,"Indiana Jones and the Last Crusade",1989,8.2
113,"All About Eve",1950,8.2
114,"Yojimbo",1961,8.2
115,"Babam ve Oglum",2005,8.2
116,"Up",2009,8.2
117,"Batman Begins",2005,8.2
118,"Some Like It Hot",1959,8.2
119,"The Treasure of the Sierra Madre",1948,8.2
120,"Unforgiven",1992,8.2
121,"Downfall",2004,8.2
122,"Die Hard",1988,8.2
123,"Raging Bull",1980,8.2
124,"Heat",1995,8.2
125,"Children of Heaven",1997,8.2
126,"The Third Man",1949,8.2
127,"The Great Escape",1963,8.2
128,"Ikiru",1952,8.2
129,"Chinatown",1974,8.2
130,"Pan's Labyrinth",2006,8.2
131,"My Neighbor Totoro",1988,8.2
132,"Incendies",2010,8.2
133,"Ran",1985,8.2
134,"Judgment at Nuremberg",1961,8.2
135,"The Gold Rush",1925,8.2
136,"The Secret in Their Eyes",2009,8.2
137,"Inside Out",2015,8.2
138,"Howl's Moving Castle",2004,8.2
139,"On the Waterfront",1954,8.2
140,"The Bridge on the River Kwai",1957,8.2
141,"The Seventh Seal",1957,8.2
142,"Room",2015,8.2
143,"Lock, Stock and Two Smoking Barrels",1998,8.2
144,"Mr. Smith Goes to Washington",1939,8.2
145,"A Beautiful Mind",2001,8.2
146,"Casino",1995,8.2
147,"Blade Runner",1982,8.2
148,"The Elephant Man",1980,8.1
149,"V for Vendetta",2005,8.1
150,"Wild Strawberries",1957,8.1
151,"The Wolf of Wall Street",2013,8.1
152,"The General",1926,8.1
153,"Warrior",2011,8.1
154,"Dial M for Murder",1954,8.1
155,"Trainspotting",1996,8.1
156,"Gran Torino",2008,8.1
157,"Gone with the Wind",1939,8.1
158,"Sunrise",1927,8.1
159,"The Deer Hunter",1978,8.1
160,"The Sixth Sense",1999,8.1
161,"Fargo",1996,8.1
162,"The Thing",1982,8.1
163,"Andrei Rublev",1966,8.1
164,"No Country for Old Men",2007,8.1
165,"The Big Lebowski",1998,8.1
166,"Finding Nemo",2003,8.1
167,"The Bandit",1996,8.1
168,"Tokyo Story",1953,8.1
169,"There Will Be Blood",2007,8.1
170,"Cool Hand Luke",1967,8.1
171,"Come and See",1985,8.1
172,"Rebecca",1940,8.1
173,"Hacksaw Ridge",2016,8.1
174,"Kill Bill: Vol. 1",2003,8.1
175,"How to Train Your Dragon",2010,8.1
176,"Rang De Basanti",2006,8.1
177,"The Passion of Joan of Arc",1928,8.1
178,"Gone Girl",2014,8.1
179,"Mary and Max",2009,8.1
180,"Shutter Island",2010,8.1
181,"La La Land",2016,8.1
182,"Into the Wild",2007,8.1
